Feature,Importance
comments,0.4101455628947735
followers,0.31788808284792985
num_posts,0.06417813448557765
image_grade,0.03998503661059224
follower_following_ratio,0.03954988698707143
following,0.025400659977627003
caption_length,0.023205061614976877
description_grade,0.022495050386968876
hashtag_count,0.02078794292959606
word_count,0.013791491358988288
description_category,0.012132147631358137
is_business_account,0.003992101724610609
mention_count,0.0039292599067579466
post_type,0.0025195806431714853
lang,0.0
